Year,Geographylevel,Indicator,Categories,SIMD_text,SIMD,Percent,Mean,LowerCI,UpperCI,Unweightedbases
2012,Scotland,Any cardiovascular condition,Has a cardiovascular condition,1st-Most deprived,1,22,NA,18.7,25,729
2012,Scotland,Any cardiovascular condition,Has a cardiovascular condition,2nd,2,18,NA,14.9,21.8,907
2012,Scotland,Any cardiovascular condition,Has a cardiovascular condition,3rd,3,14,NA,11.8,17.2,1094
2012,Scotland,Any cardiovascular condition,Has a cardiovascular condition,4th,4,16,NA,13.4,18.5,1096
2012,Scotland,Any cardiovascular condition,Has a cardiovascular condition,5th-Least deprived,5,12,NA,9.5,14.8,987
2013,Scotland,Any cardiovascular condition,Has a cardiovascular condition,1st-Most deprived,1,20,NA,16.6,22.5,785
2013,Scotland,Any cardiovascular condition,Has a cardiovascular condition,2nd,2,18,NA,15.3,21.2,999
2013,Scotland,Any cardiovascular condition,Has a cardiovascular condition,3rd,3,15,NA,12.4,17.4,1179
2013,Scotland,Any cardiovascular condition,Has a cardiovascular condition,4th,4,14,NA,11.3,16.3,1056
2013,Scotland,Any cardiovascular condition,Has a cardiovascular condition,5th-Least deprived,5,12,NA,9.8,14.7,872
2014,Scotland,Any cardiovascular condition,Has a cardiovascular condition,1st-Most deprived,1,22,NA,18.4,25.8,779
2014,Scotland,Any cardiovascular condition,Has a cardiovascular condition,2nd,2,15,NA,12.4,17.6,934
2014,Scotland,Any cardiovascular condition,Has a cardiovascular condition,3rd,3,15,NA,12,17.6,1037
2014,Scotland,Any cardiovascular condition,Has a cardiovascular condition,4th,4,14,NA,11.9,16.5,1018
2014,Scotland,Any cardiovascular condition,Has a cardiovascular condition,5th-Least deprived,5,14,NA,11.5,16.7,886
2015,Scotland,Any cardiovascular condition,Has a cardiovascular condition,1st-Most deprived,1,21,NA,18.5,23.4,876
2015,Scotland,Any cardiovascular condition,Has a cardiovascular condition,2nd,2,15,NA,12.2,17.4,980
2015,Scotland,Any cardiovascular condition,Has a cardiovascular condition,3rd,3,13,NA,10.7,15.1,1069
2015,Scotland,Any cardiovascular condition,Has a cardiovascular condition,4th,4,15,NA,12.4,17.5,1206
2015,Scotland,Any cardiovascular condition,Has a cardiovascular condition,5th-Least deprived,5,13,NA,10.1,15,864
2016,Scotland,Any cardiovascular condition,Has a cardiovascular condition,1st-Most deprived,1,18,NA,15.3,21.5,714
2016,Scotland,Any cardiovascular condition,Has a cardiovascular condition,2nd,2,16,NA,13.2,19,765
2016,Scotland,Any cardiovascular condition,Has a cardiovascular condition,3rd,3,16,NA,13.4,18.3,982
2016,Scotland,Any cardiovascular condition,Has a cardiovascular condition,4th,4,14,NA,11.5,17.1,926
2016,Scotland,Any cardiovascular condition,Has a cardiovascular condition,5th-Least deprived,5,12,NA,9.8,14.5,934
2017,Scotland,Any cardiovascular condition,Has a cardiovascular condition,1st-Most deprived,1,22,NA,18.2,26.3,605
2017,Scotland,Any cardiovascular condition,Has a cardiovascular condition,2nd,2,18,NA,14.7,21.3,710
2017,Scotland,Any cardiovascular condition,Has a cardiovascular condition,3rd,3,13,NA,10.2,15.4,826
2017,Scotland,Any cardiovascular condition,Has a cardiovascular condition,4th,4,13,NA,10.6,15.9,831
2017,Scotland,Any cardiovascular condition,Has a cardiovascular condition,5th-Least deprived,5,12,NA,9.8,14.2,723
2018,Scotland,Any cardiovascular condition,Has a cardiovascular condition,1st-Most deprived,1,19,NA,16.3,22.2,791
2018,Scotland,Any cardiovascular condition,Has a cardiovascular condition,2nd,2,16,NA,13.2,18.3,994
2018,Scotland,Any cardiovascular condition,Has a cardiovascular condition,3rd,3,16,NA,13.1,18.3,932
2018,Scotland,Any cardiovascular condition,Has a cardiovascular condition,4th,4,15,NA,12.9,17.7,1146
2018,Scotland,Any cardiovascular condition,Has a cardiovascular condition,5th-Least deprived,5,14,NA,11.4,16.8,946
2019,Scotland,Any cardiovascular condition,Has a cardiovascular condition,1st-Most deprived,1,20,NA,16.7,23.4,801
2019,Scotland,Any cardiovascular condition,Has a cardiovascular condition,2nd,2,16,NA,13,18.2,1007
2019,Scotland,Any cardiovascular condition,Has a cardiovascular condition,3rd,3,16,NA,13.3,19,1011
2019,Scotland,Any cardiovascular condition,Has a cardiovascular condition,4th,4,13,NA,10.7,14.8,1040
2019,Scotland,Any cardiovascular condition,Has a cardiovascular condition,5th-Least deprived,5,12,NA,10.2,14.6,1040
2021,Scotland,Any cardiovascular condition,Has a cardiovascular condition,1st-Most deprived,1,20,NA,16.5,22.9,594
2021,Scotland,Any cardiovascular condition,Has a cardiovascular condition,2nd,2,19,NA,15.7,23.1,806
2021,Scotland,Any cardiovascular condition,Has a cardiovascular condition,3rd,3,14,NA,11.5,16.5,928
2021,Scotland,Any cardiovascular condition,Has a cardiovascular condition,4th,4,15,NA,12.4,17.5,1132
2021,Scotland,Any cardiovascular condition,Has a cardiovascular condition,5th-Least deprived,5,13,NA,10.8,15.7,1094
2012,Scotland,Doctor-diagnosed angina,Yes,1st-Most deprived,1,8,NA,5.6,9.5,729
2012,Scotland,Doctor-diagnosed angina,Yes,2nd,2,6,NA,4.5,7.6,907
2012,Scotland,Doctor-diagnosed angina,Yes,3rd,3,5,NA,3.2,6,1094
2012,Scotland,Doctor-diagnosed angina,Yes,4th,4,4,NA,2.9,5.3,1097
2012,Scotland,Doctor-diagnosed angina,Yes,5th-Least deprived,5,2,NA,1.2,3.1,987
2013,Scotland,Doctor-diagnosed angina,Yes,1st-Most deprived,1,7,NA,4.8,8.8,786
2013,Scotland,Doctor-diagnosed angina,Yes,2nd,2,6,NA,4.1,8,1000
2013,Scotland,Doctor-diagnosed angina,Yes,3rd,3,5,NA,3.7,7,1179
2013,Scotland,Doctor-diagnosed angina,Yes,4th,4,3,NA,1.9,4,1056
2013,Scotland,Doctor-diagnosed angina,Yes,5th-Least deprived,5,2,NA,1.3,3.5,872
2014,Scotland,Doctor-diagnosed angina,Yes,1st-Most deprived,1,9,NA,5.9,11.1,779
2014,Scotland,Doctor-diagnosed angina,Yes,2nd,2,5,NA,3.5,6.6,934
2014,Scotland,Doctor-diagnosed angina,Yes,3rd,3,4,NA,2.4,5,1039
2014,Scotland,Doctor-diagnosed angina,Yes,4th,4,3,NA,2.2,4.4,1021
2014,Scotland,Doctor-diagnosed angina,Yes,5th-Least deprived,5,3,NA,1.9,4.5,886
2015,Scotland,Doctor-diagnosed angina,Yes,1st-Most deprived,1,8,NA,5.8,9.3,876
2015,Scotland,Doctor-diagnosed angina,Yes,2nd,2,4,NA,3.2,5.7,982
2015,Scotland,Doctor-diagnosed angina,Yes,3rd,3,3,NA,1.8,3.7,1069
2015,Scotland,Doctor-diagnosed angina,Yes,4th,4,3,NA,2.3,4.6,1206
