Year,Geographylevel,Indicator,Categories,SIMD_text,SIMD,Percent,Mean,LowerCI,UpperCI,Unweightedbases
2012,Scotland,Summary activity levels,Meets recommendations,1st-Most deprived,1,54,NA,49.5,58.7,729
2012,Scotland,Summary activity levels,Some activity,1st-Most deprived,1,10,NA,7.8,13.2,729
2012,Scotland,Summary activity levels,Low activity,1st-Most deprived,1,3,NA,1.7,5.2,729
2012,Scotland,Summary activity levels,Very low activity,1st-Most deprived,1,32,NA,27.8,36.1,729
2012,Scotland,Summary activity levels,Meets recommendations,2nd,2,59,NA,54.8,62.3,904
2012,Scotland,Summary activity levels,Some activity,2nd,2,13,NA,10.4,16,904
2012,Scotland,Summary activity levels,Low activity,2nd,2,4,NA,2.6,5.1,904
2012,Scotland,Summary activity levels,Very low activity,2nd,2,24,NA,21,27.7,904
2012,Scotland,Summary activity levels,Meets recommendations,3rd,3,61,NA,57.1,65.2,1093
2012,Scotland,Summary activity levels,Some activity,3rd,3,14,NA,11,16.9,1093
2012,Scotland,Summary activity levels,Low activity,3rd,3,4,NA,2.8,5.8,1093
2012,Scotland,Summary activity levels,Very low activity,3rd,3,21,NA,17.3,23.9,1093
2012,Scotland,Summary activity levels,Meets recommendations,4th,4,65,NA,61.1,69,1095
2012,Scotland,Summary activity levels,Some activity,4th,4,11,NA,8.4,12.9,1095
2012,Scotland,Summary activity levels,Low activity,4th,4,5,NA,3.7,7.1,1095
2012,Scotland,Summary activity levels,Very low activity,4th,4,19,NA,15.7,22.1,1095
2012,Scotland,Summary activity levels,Meets recommendations,5th-Least deprived,5,71,NA,67.6,74.3,986
2012,Scotland,Summary activity levels,Some activity,5th-Least deprived,5,10,NA,7.5,12.1,986
2012,Scotland,Summary activity levels,Low activity,5th-Least deprived,5,6,NA,4,7.9,986
2012,Scotland,Summary activity levels,Very low activity,5th-Least deprived,5,13,NA,11,15.7,986
2013,Scotland,Summary activity levels,Meets recommendations,1st-Most deprived,1,54,NA,50.2,58.2,784
2013,Scotland,Summary activity levels,Some activity,1st-Most deprived,1,9,NA,7.2,11.4,784
2013,Scotland,Summary activity levels,Low activity,1st-Most deprived,1,4,NA,2.2,5.4,784
2013,Scotland,Summary activity levels,Very low activity,1st-Most deprived,1,33,NA,28.9,36.5,784
2013,Scotland,Summary activity levels,Meets recommendations,2nd,2,59,NA,55.7,63.2,998
2013,Scotland,Summary activity levels,Some activity,2nd,2,12,NA,10.1,14.3,998
2013,Scotland,Summary activity levels,Low activity,2nd,2,4,NA,2.3,5.2,998
2013,Scotland,Summary activity levels,Very low activity,2nd,2,25,NA,20.9,28.2,998
2013,Scotland,Summary activity levels,Meets recommendations,3rd,3,67,NA,62.5,70.7,1176
2013,Scotland,Summary activity levels,Some activity,3rd,3,10,NA,7.5,12.8,1176
