FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Sex,Age,SIMD_quintile,Urban Rural Classification
S92000003,Scotland,Country,2005-2007,Count,Years,79.81,Male,0 years,5 - least deprived,All
S92000003,Scotland,Country,2005-2007,Count,Years,68.96,Male,0 years,1 - most deprived,All
S92000003,Scotland,Country,2005-2007,Count,Years,76.07,Female,0 years,1 - most deprived,All
S92000003,Scotland,Country,2005-2007,Count,Years,83.06,Female,0 years,5 - least deprived,All
S92000003,Scotland,Country,2004-2006,Count,Years,79.43,Male,0 years,5 - least deprived,All
S92000003,Scotland,Country,2004-2006,Count,Years,68.85,Male,0 years,1 - most deprived,All
S92000003,Scotland,Country,2004-2006,Count,Years,75.91,Female,0 years,1 - most deprived,All
S92000003,Scotland,Country,2004-2006,Count,Years,82.91,Female,0 years,5 - least deprived,All
S92000003,Scotland,Country,2008-2010,Count,Years,76.51,Female,0 years,1 - most deprived,All
S92000003,Scotland,Country,2008-2010,Count,Years,83.83,Female,0 years,5 - least deprived,All
S92000003,Scotland,Country,2008-2010,Count,Years,80.56,Male,0 years,5 - least deprived,All
S92000003,Scotland,Country,2008-2010,Count,Years,70.26,Male,0 years,1 - most deprived,All
S92000003,Scotland,Country,2001-2003,Count,Years,75.46,Female,0 years,1 - most deprived,All
S92000003,Scotland,Country,2001-2003,Count,Years,82.15,Female,0 years,5 - least deprived,All
S92000003,Scotland,Country,2001-2003,Count,Years,67.82,Male,0 years,1 - most deprived,All
S92000003,Scotland,Country,2001-2003,Count,Years,78.52,Male,0 years,5 - least deprived,All
S92000003,Scotland,Country,2006-2008,Count,Years,69.14,Male,0 years,1 - most deprived,All
S92000003,Scotland,Country,2006-2008,Count,Years,80.06,Male,0 years,5 - least deprived,All
S92000003,Scotland,Country,2006-2008,Count,Years,76.06,Female,0 years,1 - most deprived,All
S92000003,Scotland,Country,2006-2008,Count,Years,83.31,Female,0 years,5 - least deprived,All
S92000003,Scotland,Country,2007-2009,Count,Years,69.6,Male,0 years,1 - most deprived,All
S92000003,Scotland,Country,2007-2009,Count,Years,80.28,Male,0 years,5 - least deprived,All
S92000003,Scotland,Country,2007-2009,Count,Years,76.32,Female,0 years,1 - most deprived,All
S92000003,Scotland,Country,2007-2009,Count,Years,83.53,Female,0 years,5 - least deprived,All
S92000003,Scotland,Country,2009-2011,Count,Years,80.97,Male,0 years,5 - least deprived,All
S92000003,Scotland,Country,2009-2011,Count,Years,76.87,Female,0 years,1 - most deprived,All
