Year,Geographylevel,Indicator,Categories,SIMD_text,SIMD,Percent,Mean,LowerCI,UpperCI,Unweightedbases
2012,Scotland,Smoking status,Never smoked/Used to smoke occasionally,1st-Most deprived,1,40,NA,35,45.5,726
2012,Scotland,Smoking status,Used to smoke regularly,1st-Most deprived,1,19,NA,15.6,22.4,726
2012,Scotland,Smoking status,Current smoker,1st-Most deprived,1,41,NA,36.1,45.4,726
2012,Scotland,Smoking status,Never smoked/Used to smoke occasionally,2nd,2,47,NA,41.8,51.7,902
2012,Scotland,Smoking status,Used to smoke regularly,2nd,2,23,NA,19.6,26,902
2012,Scotland,Smoking status,Current smoker,2nd,2,30,NA,25.9,35,902
2012,Scotland,Smoking status,Never smoked/Used to smoke occasionally,3rd,3,54,NA,49.7,57.8,1091
2012,Scotland,Smoking status,Used to smoke regularly,3rd,3,23,NA,19.7,26.1,1091
2012,Scotland,Smoking status,Current smoker,3rd,3,23,NA,19.2,27.5,1091
2012,Scotland,Smoking status,Never smoked/Used to smoke occasionally,4th,4,59,NA,54.8,63.2,1093
2012,Scotland,Smoking status,Used to smoke regularly,4th,4,22,NA,18.9,25,1093
2012,Scotland,Smoking status,Current smoker,4th,4,19,NA,15.5,22.6,1093
2012,Scotland,Smoking status,Never smoked/Used to smoke occasionally,5th-Least deprived,5,67,NA,62.6,70.6,984
2012,Scotland,Smoking status,Used to smoke regularly,5th-Least deprived,5,21,NA,18.2,24.3,984
2012,Scotland,Smoking status,Current smoker,5th-Least deprived,5,12,NA,9,15.2,984
2013,Scotland,Smoking status,Never smoked/Used to smoke occasionally,1st-Most deprived,1,39,NA,35.3,43,784
2013,Scotland,Smoking status,Used to smoke regularly,1st-Most deprived,1,24,NA,20.6,26.6,784
2013,Scotland,Smoking status,Current smoker,1st-Most deprived,1,37,NA,33.1,41.4,784
2013,Scotland,Smoking status,Never smoked/Used to smoke occasionally,2nd,2,51,NA,46.7,56,995
2013,Scotland,Smoking status,Used to smoke regularly,2nd,2,25,NA,21.6,28.3,995
2013,Scotland,Smoking status,Current smoker,2nd,2,24,NA,20,27.4,995
2013,Scotland,Smoking status,Never smoked/Used to smoke occasionally,3rd,3,51,NA,47.2,54.6,1174
2013,Scotland,Smoking status,Used to smoke regularly,3rd,3,26,NA,22.8,29.3,1174
